iter	Passed	Remaining
287	3531	8730
288	3541	8713
289	3553	8700
290	3565	8687
291	3573	8665
292	3585	8650
293	3595	8634
294	3605	8616
295	3618	8605
296	3628	8587
297	3637	8567
298	3648	8554
299	3657	8534
300	3668	8518
301	3678	8502
302	3687	8481
303	3697	8465
304	3706	8445
305	3718	8433
306	3728	8416
307	3737	8397
308	3753	8393
309	3763	8376
310	3772	8356
311	3782	8341
312	3792	8324
313	3801	8304
314	3812	8289
315	3820	8270
316	3831	8255
317	3843	8242
318	3853	8225
319	3863	8210
320	3877	8200
321	3886	8184
322	3899	8172
323	3911	8160
324	3921	8145
325	3931	8129
326	3944	8118
327	3958	8110
328	3971	8100
329	3982	8085
330	3995	8075
331	4007	8063
332	4021	8054
333	4029	8035
334	4040	8019
335	4048	8000
336	4059	7985
337	4067	7966
338	4077	7949
339	4086	7933
340	4095	7914
341	4105	7898
342	4113	7879
343	4123	7864
344	4135	7851
345	4144	7834
346	4155	7820
347	4164	7802
348	4175	7788
349	4184	7771
350	4193	7754
351	4204	7739
352	4213	7722
353	4223	7707
354	4234	7693
355	4243	7676
356	4253	7660
357	4263	7645
358	4274	7631
359	4286	7619
360	4295	7602
361	4307	7591
362	4317	7575
363	4327	7560
364	4340	7550
365	4352	7540
366	4366	7531
367	4376	7516
368	4388	7504
369	4399	7491
370	4409	7476
371	4421	7463
372	4430	7448
373	4439	7430
374	4448	7414
375	4457	7397
376	4468	7384
377	4476	7366
378	4486	7351
379	4496	7336
380	4504	7319
381	4515	7305
382	4525	7289
383	4537	7278
384	4547	7263
385	4556	7247
386	4568	7236
387	4578	7221
388	4586	7203
389	4598	7191
390	4606	7174
391	4616	7160
392	4627	7147
393	4636	7131
394	4646	7116
395	4655	7100
396	4667	7089
397	4676	7074
398	4685	7057
399	4695	7043
400	4703	7025
401	4714	7013
402	4724	6999
403	4734	6984
404	4744	6970
405	4752	6953
406	4764	6941
407	4774	6927
408	4782	6911
409	4793	6898
410	4802	6881
411	4814	6871
412	4825	6858
413	4833	6842
414	4844	6828
415	4855	6816
416	4864	6801
417	4874	6786
418	4882	6770
419	4892	6756
420	4901	6741
421	4913	6729
422	4924	6717
423	4933	6702
424	4943	6688
425	4954	6675
426	4964	6662
427	4975	6649
428	4984	6634
429	4996	6622
430	5008	6612
431	5020	6600
432	5030	6587
433	5042	6576
434	5054	6564
435	5062	6548
436	5073	6536
437	5084	6524
438	5094	6510
439	5104	6497
440	5114	6483
441	5126	6471
442	5136	6457
443	5144	6442
444	5154	6429
445	5163	6414
446	5174	6401
447	5185	6389
448	5238	6429
449	5252	6419
450	5273	6419
451	5287	6410
452	5296	6395
453	5306	6382
454	5317	6369
455	5326	6354
456	5337	6342
457	5351	6332
458	5360	6318
459	5372	6306
460	5384	6295
461	5393	6281
462	5405	6269
463	5418	6259
464	5427	6244
465	5440	6233
466	5452	6222
467	5460	6207
468	5471	6195
469	5483	6183
470	5492	6168
471	5503	6157
472	5517	6147
473	5526	6132
474	5537	6120
475	5549	6108
476	5558	6094
477	5569	6082
478	5583	6072
479	5591	6057
480	5602	6045
481	5614	6033
482	5623	6018
483	5634	6007
484	5647	5996
485	5657	5983
486	5668	5971
487	5680	5959
488	5690	5946
489	5701	5934
490	5713	5922
491	5722	5908
492	5732	5895
493	5743	5882
494	5752	5868
495	5762	5855
496	5770	5840
497	5781	5827
498	5791	5814
499	5799	5799
500	5810	5786
501	5819	5772
502	5829	5760
503	5838	5745
504	5847	5732
505	5860	5721
506	5869	5707
507	5880	5694
508	5889	5681
509	5899	5668
510	5911	5657
511	5923	5645
512	5933	5632
513	5944	5620
514	5956	5609
515	5974	5604
516	5985	5591
517	5998	5581
518	6015	5574
519	6029	5565
520	6044	5556
521	6057	5546
522	6072	5538
523	6092	5534
524	6111	5529
525	6126	5520
526	6141	5512
527	6154	5501
528	6163	5488
529	6175	5476
530	6185	5463
531	6194	5449
532	6205	5437
533	6214	5423
534	6226	5411
535	6238	5400
536	6246	5385
537	6258	5374
538	6270	5362
539	6279	5349
540	6290	5337
541	6301	5324
542	6311	5311
543	6323	5300
544	6334	5288
545	6343	5274
546	6353	5261
547	6365	5250
548	6375	5237
549	6385	5224
550	6394	5210
551	6405	5199
552	6415	5186
553	6426	5173
554	6437	5161
555	6447	5149
556	6457	5136
557	6470	5125
558	6484	5115
559	6497	5104
560	6507	5092
561	6518	5080
562	6530	5068
563	6539	5055
564	6550	5043
565	6558	5029
566	6570	5017
567	6581	5005
568	6589	4991
569	6599	4978
570	6608	4965
571	6618	4952
572	6629	4940
573	6637	4926
574	6647	4913
575	6657	4900
576	6668	4888
577	6678	4876
578	6687	4862
579	6698	4850
580	6707	4837
581	6718	4825
582	6730	4814
583	6741	4802
584	6751	4789
585	6762	4777
586	6771	4764
587	6781	4751
588	6791	4738
589	6800	4725
590	6809	4712
591	6818	4699
592	6830	4688
593	6842	4677
594	6851	4663
595	6862	4651
596	6875	4641
597	6883	4627
598	6894	4615
599	6903	4602
600	6913	4589
601	6922	4576
602	6932	4564
603	6944	4552
604	6952	4539
605	6963	4527
606	6973	4514
607	6981	4501
608	6992	4489
609	7001	4476
610	7012	4464
611	7023	4452
612	7031	4439
613	7042	4427
614	7050	4413
615	7060	4401
616	7070	4389
617	7080	4376
618	7091	4364
619	7100	4351
620	7109	4339
621	7119	4326
622	7127	4313
623	7137	4300
624	7145	4287
625	7156	4275
626	7164	4262
627	7174	4250
628	7184	4237
629	7194	4225
630	7203	4212
631	7212	4199
632	7224	4188
633	7235	4176
634	7245	4164
635	7259	4154
636	7273	4145
637	7284	4133
638	7293	4120
639	7303	4108
640	7312	4095
641	7323	4083
642	7333	4071
643	7341	4058
644	7351	4046
645	7359	4033
646	7371	4021
647	7381	4009
648	7391	3997
649	7401	3985
650	7410	3972
651	7422	3961
652	7432	3949
653	7442	3937
654	7454	3926
655	7464	3914
656	7474	3902
657	7486	3891
658	7496	3879
659	7505	3866
660	7518	3855
661	7528	3844
662	7538	3831
663	7549	3820
664	7557	3807
665	7568	3795
666	7580	3784
667	7589	3771
668	7599	3760
669	7608	3747
670	7620	3736
671	7630	3724
672	7640	3712
673	7654	3702
674	7669	3692
675	7685	3683
676	7698	3673
677	7709	3661
678	7717	3648
679	7728	3636
680	7736	3623
681	7747	3612
682	7757	3600
683	7768	3589
684	7779	3577
685	7789	3565
686	7801	3554
687	7813	3543
688	7823	3531
689	7835	3520
690	7846	3508
691	7855	3496
692	7866	3484
693	7877	3473
694	7886	3460
695	7897	3449
696	7908	3437
697	7917	3425
698	7928	3414
699	7941	3403
700	7950	3391
701	7962	3380
702	7976	3369
703	7986	3357
704	7997	3346
705	8008	3335
706	8018	3322
707	8028	3311
708	8038	3299
709	8049	3287
710	8061	3276
711	8073	3265
712	8082	3253
713	8094	3242
714	8105	3231
715	8115	3218
716	8126	3207
717	8138	3196
718	8150	3185
719	8160	3173
720	8172	3162
721	8183	3150
722	8192	3138
723	8203	3127
724	8213	3115
725	8224	3103
726	8234	3092
727	8243	3079
728	8254	3068
729	8265	3057
730	8274	3044
731	8284	3033
732	8294	3021
733	8307	3010
734	8319	2999
735	8334	2989
736	8342	2977
737	8354	2965
738	8366	2954
739	8375	2942
740	8385	2930
741	8397	2919
742	8405	2907
743	8416	2896
744	8425	2883
745	8435	2872
746	8445	2860
747	8454	2848
748	8468	2837
749	8478	2826
750	8488	2814
751	8500	2803
752	8526	2796
753	8537	2785
754	8549	2774
755	8559	2762
756	8570	2751
757	8581	2739
758	8594	2729
759	8603	2717
760	8617	2706
761	8630	2695
762	8642	2684
763	8652	2672
764	8663	2661
765	8672	2649
766	8681	2637
767	8692	2625
768	8700	2613
769	8712	2602
770	8720	2590
771	8731	2578
772	8740	2566
773	8749	2554
774	8758	2542
775	8766	2530
776	8776	2518
777	8785	2506
778	8796	2495
779	8806	2483
780	8814	2471
781	8826	2460
782	8834	2448
783	8845	2437
784	8856	2425
785	8865	2413
786	8876	2402
787	8889	2391
788	8898	2379
789	8907	2367
790	8916	2355
791	8926	2344
792	8937	2332
793	8947	2321
794	8958	2310
795	8971	2299
796	8980	2287
797	8993	2276
798	9004	2265
799	9013	2253
800	9025	2242
801	9036	2231
802	9046	2219
803	9058	2208
804	9068	2196
805	9077	2184
806	9088	2173
807	9096	2161
808	9107	2150
809	9117	2138
810	9126	2126
811	9135	2115
812	9143	2103
813	9153	2091
814	9163	2080
815	9173	2068
816	9183	2056
817	9191	2045
818	9202	2033
819	9210	2021
820	9221	2010
821	9230	1998
822	9241	1987
823	9252	1976
824	9262	1964
825	9276	1954
826	9289	1943
827	9302	1932
828	9311	1920
829	9324	1909
830	9338	1899
831	9350	1887
832	9361	1876
833	9373	1865
834	9387	1855
835	9399	1843
836	9411	1832
837	9424	1821
838	9437	1811
839	9448	1799
840	9457	1787
841	9467	1776
842	9478	1765
843	9487	1753
844	9498	1742
845	9507	1730
846	9518	1719
847	9528	1707
848	9536	1696
849	9546	1684
850	9555	1672
851	9566	1661
852	9576	1650
853	9585	1638
854	9595	1627
855	9604	1615
856	9615	1604
857	9625	1593
858	9635	1581
859	9645	1570
860	9654	1558
861	9664	1547
862	9677	1536
863	9686	1524
864	9698	1513
865	9711	1502
866	9721	1491
867	9732	1480
868	9744	1468
869	9753	1457
870	9766	1446
871	9779	1435
872	9790	1424
873	9800	1412
874	9811	1401
875	9819	1390
876	9830	1378
877	9840	1367
878	9848	1355
879	9858	1344
880	9866	1332
881	9876	1321
882	9885	1309
883	9895	1298
884	9905	1287
885	9914	1275
886	9923	1264
887	9933	1252
888	9943	1241
889	9953	1230
890	9964	1219
891	9976	1207
892	9986	1196
893	9996	1185
894	10006	1173
895	10014	1162
896	10025	1151
897	10036	1139
898	10046	1128
899	10060	1117
900	10073	1106
901	10084	1095
902	10099	1084
903	10113	1073
904	10128	1063
905	10146	1052
906	10159	1041
907	10171	1030
908	10181	1019
909	10192	1008
910	10204	996
911	10213	985
912	10224	974
913	10236	963
914	10245	951
915	10256	940
916	10267	929
917	10278	918
918	10290	906
919	10302	895
920	10316	884
921	10330	873
922	10342	862
923	10354	851
924	10365	840
925	10375	829
926	10387	818
927	10406	807
928	10424	796
929	10438	785
930	10456	774
931	10471	763
932	10485	752
933	10507	742
934	10539	732
935	10553	721
936	10568	710
937	10580	699
938	10592	688
939	10607	677
940	10620	665
941	10635	654
942	10647	643
943	10660	632
944	10671	621
945	10687	610
946	10710	599
947	10723	588
948	10739	577
949	10757	566
950	10769	554
951	10783	543
952	10797	532
953	10809	521
954	10825	510
955	10837	498
956	10853	487
957	10964	480
958	10977	469
959	10992	458
960	11005	446
961	11017	435
962	11033	423
963	11048	412
964	11063	401
965	11079	389
966	11094	378
967	11107	367
968	11122	355
969	11134	344
970	11147	332
971	11164	321
972	11178	310
973	11193	298
974	11205	287
975	11214	275
976	11229	264
977	11242	252
978	11254	241
979	11265	229
980	11277	218
981	11292	206
982	11304	195
983	11320	184
984	11334	172
985	11346	161
986	11361	149
987	11374	138
988	11388	126
989	11403	115
990	11419	103
991	11431	92
992	11443	80
993	11458	69
994	11471	57
995	11483	46
996	11495	34
997	11512	23
998	11526	11
999	11537	0
